url;note
FPO;0.000416
TVS;0.000343
ABV;0.001058
STX;0.000296
ITM;0.000366
MUC;0.011108
MXP;0.002112
CIJ;0.000265
NVT;0.000673
PMI;0.007730
HMO;0.000373
SKU;0.000282
BJX;0.000310
GRU;0.004449
TUL;0.000335
REZ;0.000385
HYL;0.000336
MGQ;0.000333
FEG;0.000261
YVM;0.000278
VIX;0.002060
PEE;0.000284
DPL;0.000305
AUK;0.000424
WBB;0.000312
LMA;0.000263
TAK;0.000262
BAH;0.000987
TRZ;0.000303
ORF;0.000338
VNO;0.000301
BEL;0.002334
SVG;0.000286
NUX;0.000317
CEN;0.000261
PAP;0.001295
PHC;0.000510
BLA;0.001836
AFL;0.000427
DZA;0.000446
HEL;0.003046
PNS;0.000315
TNG;0.000322
KWN;0.000303
RVD;0.000415
YUY;0.000289
EZE;0.001101
CUL;0.000261
BUD;0.001078
ZEL;0.000385
BUN;0.000295
ADZ;0.000357
MLI;0.000289
TRC;0.000280
STS;0.000284
BWN;0.000278
LPD;0.000280
IXB;0.000408
ASP;0.000375
SLC;0.000594
ACC;0.000482
LYC;0.000306
CBO;0.000326
NVI;0.000261
DRG;0.000540
WMO;0.000350
TXK;0.000280
SVQ;0.000276
MRU;0.000452
TNR;0.000941
BRU;0.004399
OVS;0.000370
URJ;0.000269
SPI;0.000949
ERF;0.000776
ATH;0.008792
YZS;0.000275
TLA;0.000282
VOZ;0.000282
BSC;0.000400
PHL;0.000659
ARU;0.000735
ATM;0.000943
NKC;0.000646
YRT;0.000422
CDG;0.026077
BWI;0.001792
HUU;0.000274
HAK;0.000273
KIS;0.000269
PSO;0.000263
JUL;0.000157
LAZ;0.000371
NJC;0.000294
TLH;0.000335
KJI;0.000296
FYU;0.000597
CWA;0.000320
LEI;0.000355
JDR;0.000445
MYD;0.000280
BHJ;0.000265
RAJ;0.000259
FIH;0.000592
YQX;0.000385
HMV;0.000263
SKK;0.000289
BYM;0.000353
LFT;0.000370
POR;0.000286
EDI;0.001312
WWT;0.000302
YCB;0.000442
CHU;0.000279
JAC;0.000423
CTM;0.000261
KBL;0.000259
WBQ;0.000303
GNY;0.000447
FSM;0.000310
CLY;0.002097
BPT;0.000310
RBA;0.001031
NIB;0.000262
STN;0.000390
VLN;0.000395
VGZ;0.000269
LIT;0.000453
SMF;0.000328
BGY;0.000274
NNG;0.000408
NGO;0.000524
SIT;0.000267
YGR;0.000409
YZR;0.000345
YGL;0.000263
KWE;0.000310
HGA;0.000258
GAM;0.000278
GOP;0.000827
MMH;0.000340
REP;0.000271
LOK;0.000269
SGS;0.000300
BUR;0.000500
COU;0.000372
FAR;0.000372
YBC;0.000295
NDR;0.000328
GMP;0.000258
ZBF;0.000274
HAM;0.005332
KSZ;0.000268
RIB;0.000260
ADD;0.000570
YVQ;0.000368
MLL;0.000274
IAR;0.000289
YYD;0.000286
ORD;0.008885
YDF;0.000402
JED;0.000523
SPN;0.000319
XMN;0.001149
TRV;0.000480
FUK;0.000399
AZO;0.000415
CMI;0.000372
SJT;0.000310
OVB;0.000332
KIX;0.000544
ACH;0.000279
PIB;0.000263
HBE;0.000278
SLX;0.000269
RMI;0.000902
EBA;0.000380
SHE;0.000795
BMI;0.000468
GCM;0.000479
KKB;0.000865
STR;0.002076
ANF;0.000529
ACK;0.001411
MAO;0.004129
OUA;0.001247
TLT;0.000385
CTS;0.000399
SHG;0.000354
AUR;0.000287
KHH;0.001463
KUL;0.001744
MID;0.000377
PKA;0.000300
NAS;0.000548
BXU;0.000953
YYE;0.000282
BIQ;0.001228
HSV;0.000423
WTK;0.000262
TYS;0.000350
POJ;0.000427
CAC;0.000781
CKS;0.000765
FLN;0.001137
HRE;0.000838
CCS;0.003388
FAO;0.001478
IQQ;0.000288
YXJ;0.000299
YQY;0.000289
SVO;0.000703
GOI;0.000657
OTD;0.000286
TNC;0.000343
EGE;0.000310
CUE;0.000263
CYP;0.000267
URC;0.000392
ADB;0.000767
ODS;0.000262
AEX;0.000478
BZE;0.000434
LUN;0.000822
SGN;0.000797
BPS;0.001166
HAH;0.000434
RGN;0.000561
MEI;0.000263
YLC;0.000258
ANC;0.001652
FMM;0.000385
ITB;0.000905
BDS;0.000554
BBO;0.000305
NBO;0.001662
FRA;0.006972
CCM;0.000925
TTT;0.000504
YEG;0.000920
MTY;0.000366
MYU;0.000260
YXU;0.000454
IPN;0.001518
KLO;0.000404
CAN;0.001197
TPA;0.000506
SJW;0.000464
SPD;0.001210
TVY;0.000258
SCC;0.000274
SYD;0.000940
BAZ;0.000537
LSP;0.000274
GRR;0.001059
RIC;0.000277
CCU;0.006500
YRB;0.000274
HSL;0.000275
KYU;0.000308
LQM;0.000272
LUX;0.000648
PLU;0.003306
CWL;0.000615
BKK;0.003797
PYC;0.000286
YTZ;0.000285
MOC;0.000758
DIB;0.000342
GAL;0.000577
PUE;0.000286
ANS;0.000274
GYE;0.001000
TJM;0.000274
MGZ;0.000258
NUL;0.000297
EWB;0.001145
PMV;0.000404
RDZ;0.000344
BNE;0.001306
CGP;0.000317
GUA;0.000838
KPN;0.000359
OGZ;0.000269
TIP;0.000645
TCD;0.000280
BES;0.001710
AUX;0.000596
SAW;0.000928
RCH;0.000267
TNO;0.000297
CGI;0.000322
UVF;0.000272
PDL;0.000379
BKO;0.000451
DKR;0.000856
KGS;0.003235
YPX;0.000265
DNH;0.000258
OTZ;0.000572
GYN;0.001635
ADQ;0.000605
TUG;0.000349
LYS;0.003797
LJG;0.000754
ATT;0.000535
PHO;0.000287
SFA;0.000335
PVC;0.000282
HOU;0.000370
HAJ;0.001701
NAN;0.000281
NRN;0.000743
YGK;0.000259
YGP;0.000369
LXA;0.000313
HUX;0.000261
KJA;0.000261
YKA;0.000336
PVK;0.001540
CXJ;0.000810
HAD;0.000343
PEK;0.001737
EYK;0.000286
ACA;0.000299
VKT;0.000269
YBG;0.000270
MEL;0.000626
SOF;0.000757
DAY;0.000372
YSJ;0.000316
LED;0.001103
RSW;0.000350
KKH;0.000378
MAA;0.000806
GOT;0.000921
PEM;0.000274
SPS;0.000327
YGW;0.000269
HET;0.000759
LAD;0.000540
JPR;0.001239
ICN;0.001764
ORU;0.000258
IAH;0.002548
TWT;0.000343
IKT;0.000261
MQT;0.000281
PUQ;0.000907
XGR;0.000260
YFS;0.000288
PDA;0.000284
UBA;0.000903
VRN;0.000527
KIN;0.000730
SIP;0.000353
TLV;0.001020
UDR;0.000280
PUF;0.000640
SBA;0.000270
KUF;0.000327
GHE;0.000300
DPS;0.000263
PAT;0.000336
ESL;0.000386
UIB;0.000324
OGG;0.001344
YYR;0.000453
VDC;0.001065
KRR;0.000335
JHG;0.000285
AMD;0.002400
HYA;0.000370
MVY;0.000380
ICT;0.000423
VAG;0.000736
ZUH;0.000281
KKI;0.000291
TOS;0.000268
EMA;0.000444
VBY;0.000269
ELH;0.000337
NTE;0.003226
YAM;0.000259
BSL;0.004374
CAG;0.000599
SFO;0.002236
GIB;0.000372
YYG;0.000463
SBH;0.000261
CLT;0.002105
EIS;0.000420
SUX;0.000285
BVB;0.000427
VSA;0.000374
YXN;0.000354
CJU;0.000261
SUN;0.000270
TOL;0.000345
BEG;0.000538
CFU;0.003761
DTM;0.000413
TMU;0.000269
HND;0.000715
ECN;0.000858
CGD;0.000858
LHW;0.000431
CZM;0.001069
MAN;0.001756
NUI;0.000267
PSZ;0.000258
AZS;0.001068
CGB;0.004170
CTU;0.001361
CGK;0.000470
HRG;0.001243
NUP;0.000302
JUB;0.000269
OME;0.000483
LGA;0.004345
SJC;0.000429
CTA;0.001568
RJH;0.000300
JJN;0.000268
MCT;0.000592
DFW;0.027521
SHJ;0.000280
SJK;0.000904
IXA;0.000362
YQZ;0.000365
YNZ;0.000961
CEK;0.001009
UGI;0.000266
PNH;0.000266
JAX;0.001126
TGZ;0.000261
VTU;0.000286
ZYI;0.000288
LPB;0.000436
TSV;0.000269
CMH;0.001386
ASF;0.000328
VKO;0.000669
IBZ;0.002855
QBC;0.000310
MRA;0.000307
RKD;0.000271
YHZ;0.000726
YQM;0.000331
XIC;0.000260
PDP;0.000268
XNA;0.000325
ROC;0.000272
PIN;0.000354
EXT;0.000771
GDZ;0.000281
YTQ;0.000262
AUH;0.005623
TPP;0.000307
BCN;0.002926
PEN;0.000270
MBA;0.000280
VAK;0.000389
RNS;0.001799
CLE;0.001162
LEC;0.000351
ALG;0.002035
KKA;0.000322
YSG;0.000271
MRY;0.000270
SAP;0.000267
YTS;0.000259
DME;0.006057
GPS;0.000306
LIR;0.001226
LDE;0.000287
YMM;0.000431
MLY;0.000276
BET;0.005449
EOH;0.000522
IXZ;0.000684
PBC;0.000268
MDT;0.000491
LAO;0.000321
YHY;0.000275
BJL;0.000347
YKL;0.000268
TIA;0.000322
SCL;0.000782
PVD;0.000321
AUG;0.000349
MOB;0.000265
GPA;0.000537
HDF;0.000781
IRC;0.000267
ATL;0.003602
DJE;0.000698
KVL;0.000290
JIQ;0.000313
FSD;0.000372
OVD;0.000383
SJP;0.000829
BLL;0.000444
KPY;0.000266
TPE;0.002629
CGQ;0.000450
KHN;0.000283
FOC;0.000425
PRG;0.001450
DRK;0.000269
YEV;0.000273
DIU;0.000265
IXS;0.000343
USU;0.000362
SLU;0.000261
TYN;0.000328
ART;0.000500
YVO;0.000285
PPB;0.000415
MNL;0.001328
JOL;0.000265
LKO;0.000522
UFA;0.000332
FSC;0.002654
GSO;0.000718
LRM;0.000433
POP;0.000705
YQT;0.000299
INV;0.000267
DRS;0.003198
YPR;0.000379
OPO;0.000400
GIG;0.001747
GRI;0.000310
SYR;0.000295
CGA;0.000385
GHB;0.000300
SXF;0.000300
BTI;0.000320
MPP;0.000343
IXM;0.000676
PPT;0.000441
CWB;0.002561
SFG;0.000300
MRV;0.000359
ULV;0.000288
BHI;0.000343
HJJ;0.000313
DMM;0.001226
TBS;0.000580
FAT;0.000586
MTJ;0.000265
YXE;0.000445
MGF;0.001645
BEY;0.000927
MEC;0.000263
AJR;0.000295
YKG;0.000263
SDQ;0.000567
YYJ;0.000460
SAV;0.000263
TLN;0.000998
WXN;0.000265
TIJ;0.000267
NYT;0.000258
ACU;0.000542
